JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460882.63056,8.8837,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4533|CMAGINS=-12.8040|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1540|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.054,Z,-12.804,-11.154,None,EG And,AAVSO,STD,,,,
2460882.63132,8.8281,0.0042,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.5076|CMAGINS=-12.8027|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1464|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.052,Z,-12.8027,-11.1464,None,EG And,AAVSO,STD,,,,
2460882.63207,8.7714,0.0042,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.5481|CMAGINS=-12.7864|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1428|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.051,Z,-12.7864,-11.1428,None,EG And,AAVSO,STD,,,,
2460882.63283,8.8503,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4678|CMAGINS=-12.7851|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1513|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.05,Z,-12.7851,-11.1513,None,EG And,AAVSO,STD,,,,
2460883.482639,7.2,,,Vis.,BPHC,,76,70,X40493ACY,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460883.6090,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460884.4910,7.4,,,Vis.,HGUA,,76,70,23189ATR,,,,Z,,,,EG AND,SAAF,STD,,,,
2460884.925,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460885.5097,7.5,,,Vis.,PYG,,B-1,,072.02,,,,Z,,,,EG AND,BAA-VSS,STD,,,,
2460885.78888889,7.1,,,Vis.,CVIC,,70,76,X40401YN,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460886.4886,7.259,0.015,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.25,Z,7.025,7.444,,EG AND,AAVSO,STD,,,,
2460890.5139,7.4,,,Vis.,PYG,U,V=B,,072.02,,,,Z,,,,EG AND,BAA-VSS,STD,,,,
2460891.5563,7.275,0.013,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.05,Z,7.025,7.434,,EG AND,AAVSO,STD,,,,
2460891.6090,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460892.6139,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460893.6069,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460894.5505,7.247,0.011,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.04,Z,7.025,7.427,,EG AND,AAVSO,STD,,,,
2460894.6028,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460895.6069,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460895.96181,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460896.6194,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460897.6229,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460899.5636,7.224,0.008,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.02,Z,7.025,7.440,,EG AND,AAVSO,STD,,,,
2460900.38958,7.05,,,Vis.,MPTA,B,70,76,X28757OO,T148mm/ 30x,,,Z,,,,EG And,AAVSO,STD,,,,
2460902.52639,7.4,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2460905.3261,7.154,0.016,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,2.10,Z,7.025,7.400,,EG AND,AAVSO,STD,,,,
2460905.63333,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460906.5147,7.217,0.007,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.05,Z,7.025,7.424,,EG AND,AAVSO,STD,,,,
2460906.6559,7.4,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2460908.48,7.5,,,Vis.,JLZ,,69,67,10256X,,,,Z,,,,EG AND,MCSE,STD,,,,
2460910.38194,7.0,,,Vis.,MPTA,U,70,76,X28757OO,B10x50mm,,,Z,,,,EG And,AAVSO,STD,,,,
2460910.6028,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460911.6229,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
